PKDATAROWID,FLGEXSDE,FLGEXKEL,FLGEXAUC,FLGEXST,NDOSEI,PKPCOM,MIDPNTN,MIDPNTA,MIDPNTNU,MIDPNTAU,RATEN,RATEA,RATENU,RATEAU
33239679,0,1,0,0,1,,,,,,,,,
33239681,0,1,0,0,1,,,,,,,,,
33239683,0,1,0,0,1,,,,,,,,,
33239685,0,1,0,0,1,,,,,,,,,
33239686,0,1,0,0,1,,,,,,,,,
33239687,0,1,0,0,1,,,,,,,,,
33239688,0,1,0,0,1,,,,,,,,,
33239689,0,1,0,0,1,,,,,,,,,
33239690,0,1,0,0,1,,,,,,,,,
33239691,0,0,0,0,1,,,,,,,,,
33239692,0,0,0,0,1,,,,,,,,,
33239693,0,0,0,0,1,,,,,,,,,
33239694,0,0,0,0,1,,,,,,,,,
33239695,0,0,0,0,1,,,,,,,,,
33239696,0,0,0,0,1,,,,,,,,,
33239417,0,1,0,0,1,,,,,,,,,
33239418,0,1,0,0,1,,,,,,,,,
33239419,0,1,0,0,1,,,,,,,,,
33239421,0,1,0,0,1,,,,,,,,,
33239423,0,1,0,0,1,,,,,,,,,
33239425,0,1,0,0,1,,,,,,,,,
33239426,0,1,0,0,1,,,,,,,,,
33239427,0,1,0,0,1,,,,,,,,,
33239428,0,1,0,0,1,,,,,,,,,
33239429,0,1,0,0,1,,,,,,,,,
33239430,0,1,0,0,1,,,,,,,,,
33239431,0,1,0,0,1,,,,,,,,,
33239432,0,1,0,0,1,,,,,,,,,
33239433,0,1,0,0,1,,,,,,,,,
33239434,0,0,0,0,1,,,,,,,,,
33239435,0,0,0,0,1,,,,,,,,,
33239436,0,0,0,0,1,,,,,,,,,
33239477,0,1,0,0,1,,,,,,,,,
33239478,0,1,0,0,1,,,,,,,,,
33239479,0,1,0,0,1,,,,,,,,,
33239481,0,1,0,0,1,,,,,,,,,
33239483,0,1,0,0,1,,,,,,,,,
33239485,0,1,0,0,1,,,,,,,,,
33239486,0,1,0,0,1,,,,,,,,,
33239487,0,1,0,0,1,,,,,,,,,
33239488,0,1,0,0,1,,,,,,,,,
33239489,0,1,0,0,1,,,,,,,,,
33239490,0,1,0,0,1,,,,,,,,,
33239491,0,1,0,0,1,,,,,,,,,
33239492,0,1,0,0,1,,,,,,,,,
33239493,0,1,0,0,1,,,,,,,,,
33239494,0,0,0,0,1,,,,,,,,,
33239495,0,0,0,0,1,,,,,,,,,
33239496,0,0,0,0,1,,,,,,,,,
33239697,0,1,0,0,1,,,,,,,,,
33239698,0,1,0,0,1,,,,,,,,,
33239699,0,1,0,0,1,,,,,,,,,
33239701,0,1,0,0,1,,,,,,,,,
33239703,0,1,0,0,1,,,,,,,,,
33239705,0,1,0,0,1,,,,,,,,,
33239706,0,1,0,0,1,,,,,,,,,
33239707,0,1,0,0,1,,,,,,,,,
33239708,0,1,0,0,1,,,,,,,,,
33239709,0,1,0,0,1,,,,,,,,,
33239710,0,1,0,0,1,,,,,,,,,
33239711,0,0,0,0,1,,,,,,,,,
33239712,0,0,0,0,1,,,,,,,,,
33239713,0,0,0,0,1,,,,,,,,,
33239714,0,0,0,0,1,,,,,,,,,
33239715,0,0,0,0,1,,,,,,,,,
33239716,0,0,0,0,1,,,,,,,,,
33238723,0,1,0,0,1,,,,,,,,,
33238725,0,1,0,0,1,,,,,,,,,
33238726,0,1,0,0,1,,,,,,,,,
33238727,0,1,0,0,1,,,,,,,,,
33238728,0,1,0,0,1,,,,,,,,,
33238729,0,0,0,0,1,,,,,,,,,
33238730,0,0,0,0,1,,,,,,,,,
33238731,0,0,0,0,1,,,,,,,,,
33238732,0,0,0,0,1,,,,,,,,,
33238733,0,0,0,0,1,,,,,,,,,
33238734,0,0,0,0,1,,,,,,,,,
33238735,0,0,0,0,1,,,,,,,,,
33238736,0,0,0,0,1,,,,,,,,,
33238737,0,0,0,0,1,,,,,,,,,
33238738,0,0,0,0,1,,,,,,,,,
33238740,0,1,0,0,1,,,,,,,,,
33238839,0,1,0,0,1,,,,,,,,,
33238840,0,1,0,0,1,,,,,,,,,
33238841,0,1,0,0,1,,,,,,,,,
33238843,0,1,0,0,1,,,,,,,,,
33238845,0,1,0,0,1,,,,,,,,,
33238847,0,1,0,0,1,,,,,,,,,
33238848,0,1,0,0,1,,,,,,,,,
33238849,0,1,0,0,1,,,,,,,,,
33238850,0,1,0,0,1,,,,,,,,,
33238851,0,1,0,0,1,,,,,,,,,
33238852,0,1,0,0,1,,,,,,,,,
33238853,0,1,0,0,1,,,,,,,,,
33238854,0,1,0,0,1,,,,,,,,,
33238855,0,0,0,0,1,,,,,,,,,
33238856,0,0,0,0,1,,,,,,,,,
33238857,0,0,0,0,1,,,,,,,,,
33238858,0,0,0,0,1,,,,,,,,,
33238615,0,1,0,0,1,,,,,,,,,
33238617,0,1,0,0,1,,,,,,,,,
33238618,0,1,0,0,1,,,,,,,,,
33238619,0,1,0,0,1,,,,,,,,,
33238620,0,1,0,0,1,,,,,,,,,
33238621,0,1,0,0,1,,,,,,,,,
33238622,0,1,0,0,1,,,,,,,,,
33238623,0,1,0,0,1,,,,,,,,,
33238624,0,1,0,0,1,,,,,,,,,
33238625,0,1,0,0,1,,,,,,,,,
33238626,0,1,0,0,1,,,,,,,,,
33238627,0,1,0,0,1,,,,,,,,,
33238628,0,1,0,0,1,,,,,,,,,
33238629,0,0,0,0,1,,,,,,,,,
33238630,0,0,0,0,1,,,,,,,,,
33238631,0,0,0,0,1,,,,,,,,,
33238632,0,1,0,0,1,,,,,,,,,
33239537,0,1,0,0,1,,,,,,,,,
33239538,0,1,0,0,1,,,,,,,,,
33239539,0,1,0,0,1,,,,,,,,,
33239541,0,1,0,0,1,,,,,,,,,
